year,char_threshold,cutoff,value,count,percent,match
2019,80,3_pix,1,4516,0.124452283,0.457849919
2019,80,3_pix,2,8048,0.221787417,0.457849919
2019,80,3_pix,4,15157,0.417697798,0.457849919
2019,80,3_pix,3,8566,0.236062502,0.457849919
2019,90,3_pix,1,7113,0.206251631,0.362977354
2019,90,3_pix,2,5985,0.173543654,0.362977354
2019,90,3_pix,3,6533,0.1894337,0.362977354
2019,90,3_pix,4,14856,0.430771015,0.362977354
2019,80,0.1,1,5009,0.137135191,0.450829546
2019,80,0.1,2,7548,0.20664732,0.450829546
2019,80,0.1,3,8919,0.244182226,0.450829546
2019,80,0.1,4,15050,0.412035263,0.450829546
2019,80,0.5,1,6505,0.178106946,0.583248912
2019,80,0.5,2,6049,0.165621663,0.583248912
2019,80,0.5,3,15253,0.417627249,0.583248912
2019,80,0.5,4,8716,0.238644142,0.583248912
2019,80,0.9,1,9610,0.263121868,0.657421351
2019,80,0.9,2,2944,0.080606741,0.657421351
2019,80,0.9,3,21067,0.57681461,0.657421351
2019,80,0.9,4,2902,0.079456781,0.657421351
2019,75,0.1,1,3712,0.102073365,0.434801738
2019,75,0.1,2,8778,0.24137931,0.434801738
2019,75,0.1,3,7034,0.193422428,0.434801738
2019,75,0.1,4,16842,0.463124897,0.434801738
2019,75,0.5,1,5389,0.148187868,0.476956498
2019,75,0.5,2,7101,0.195264808,0.476956498
2019,75,0.5,3,10244,0.28169169,0.476956498
2019,75,0.5,4,13632,0.374855634,0.476956498
2019,75,0.9,1,8429,0.231782434,0.626216796
2019,75,0.9,2,4061,0.111670241,0.626216796
2019,75,0.9,3,18712,0.514546554,0.626216796
2019,75,0.9,4,5164,0.14200077,0.626216796
2019,90,0.1,1,7203,0.207579251,0.621008646
2019,90,0.1,2,5884,0.169567723,0.621008646
2019,90,0.1,3,15665,0.451440922,0.621008646
2019,90,0.1,4,5948,0.171412104,0.621008646
2019,90,0.5,1,10275,0.29610951,0.638097983
2019,90,0.5,2,2812,0.081037464,0.638097983
2019,90,0.5,3,19330,0.557060519,0.638097983
2019,90,0.5,4,2283,0.065792507,0.638097983
2019,90,0.9,1,12133,0.349654179,0.639308357
2019,90,0.9,2,954,0.027492795,0.639308357
2019,90,0.9,3,21230,0.611815562,0.639308357
2019,90,0.9,4,383,0.011037464,0.639308357